DataSet,Feature,BiomarkerSampleType,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Shared,Acidimicrobiales,EMB,-0.586,0.893**,0.810*,0.517,-0.113,-0.595,0.794**,0.733*,0.709*,0.830**
Shared,Atribacteria_or,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Bacteria_unclassified,EMB,-0.683,0.786*,0.714,0.600,-0.339,-0.703,0.842**,0.782**,0.867**,0.818**
Shared,Bacteroidetes_unclassified,EMB,-0.575,0.757,0.719*,0.477,-0.332,-0.745,0.779**,0.718*,0.816**,0.755*
Shared,DHVE6_or,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Deltaproteobacteria_unclassified,EMB,-0.575,0.757,0.695,0.628,-0.350,-0.745,0.742*,0.681*,0.791**,0.718*
Shared,Desulfobacterales,EMB,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Shared,Desulfuromonadales,EMB,-0.566,0.764,0.771*,0.361,-0.246,-0.789*,0.800**,0.745*,0.831**,0.763*
Shared,Mariprofundales,EMB,-0.839*,0.867*,0.786*,0.426,-0.373,-0.775*,0.860**,0.821**,0.860**,0.847**
Shared,NB1-n,EMB,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Shared,Parcubacteria_unclassified,EMB,-0.543,0.782*,0.699,0.824**,-0.237,-0.582,0.555,0.530,0.537,0.604
Shared,Proteobacteria_unclassified,EMB,-0.683,0.893**,0.786*,0.483,-0.400,-0.595,0.867**,0.818**,0.806**,0.855**
Shared,Thiotrichales,EMB,-0.839*,0.906**,0.913**,0.026,-0.255,-0.835*,0.834**,0.821**,0.834**,0.743*
Shared,Xanthomonadales,EMB,-0.512,0.821*,0.810*,0.433,-0.113,-0.703,0.745*,0.697*,0.758*,0.733*
Shared,Burkholderiales,NOF,0.933**,-0.757,-0.838*,-0.393,0.389,0.811*,-0.754*,-0.821**,-0.802**,-0.693*
Shared,Cytophagales,NOF,0.854**,-0.857*,-0.922**,-0.285,0.179,0.739,-0.790**,-0.839**,-0.705*,-0.796**
Shared,Frankiales,NOF,0.927**,-0.821*,-0.838*,-0.318,0.219,0.736,-0.802**,-0.833**,-0.851**,-0.790**
Shared,Sphingobacteriales,NOF,0.927**,-0.786*,-0.857**,-0.300,0.218,0.811*,-0.758*,-0.830**,-0.806**,-0.721*
All only,Clostridiales,EMB,-0.577,0.613,0.599,0.728*,-0.472,-0.818*,0.693*,0.614,0.736*,0.675*
All only,Chloroplast_or,NOF,0.736*,-0.883**,-0.854**,-0.373,0.345,0.664,-0.730*,-0.742*,-0.742*,-0.706*
All only,Chrysophyceae_unclassified,NOF,0.875**,-0.630,-0.710,-0.496,0.486,0.935**,-0.769*,-0.794**,-0.882**,-0.707*
All only,Eukaryota_unclassified,NOF,0.675,-0.704,-0.761*,-0.347,0.515,0.860*,-0.601,-0.627,-0.705*,-0.524
Prokaryotes only,Cyanobacteria_unclassified,NOF,0.675,-0.704,-0.761*,-0.531,0.432,0.860*,-0.669*,-0.694*,-0.769*,-0.619
Prokaryotes only,Flavobacteriales,NOF,0.220,0.071,-0.071,0.233,0.261,0.108,0.164,0.006,0.127,0.212
Prokaryotes only,Micrococcales,NOF,0.488,-0.286,-0.476,0.100,0.009,0.541,-0.394,-0.503,-0.467,-0.321
Prokaryotes only,Pseudomonadales,NOF,0.659,-0.714,-0.667,-0.367,0.261,0.487,-0.624,-0.612,-0.467,-0.685*
Prokaryotes only,Rhodobacterales,NOF,0.659,-0.429,-0.524,-0.317,-0.148,0.595,-0.430,-0.491,-0.539,-0.430
Prokaryotes only,Solirubrobacterales,NOF,0.586,-0.321,-0.333,0.192,0.087,0.631,-0.274,-0.365,-0.432,-0.170
Prokaryotes only,Sphingomonadales,NOF,0.610,-0.464,-0.571,0.100,-0.122,0.342,-0.430,-0.539,-0.455,-0.394
