"End Member Brine core microbiome OTUs (99% level) relative abundances, mean abundances and standard deviation, and Silva v128 classifications:"
,OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications
,EMB_04a,EMB_04b,EMB_04c,EMB_14,mean,std,Kingdom,Phylum,Class,Order,Family,Genus
Otu0003,12.24,10.03,13.58,18.53,13.59,3.6,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0007,13.61,12.39,13.47,8.01,11.87,2.63,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified
Otu0005,2.7,4.64,7.25,29.98,11.14,12.7,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira
Otu0008,11.84,11.27,11.09,7.69,10.47,1.88,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu0010,7.47,10.9,8.26,10.78,9.35,1.75,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geopsychrobacter
Otu0011,8.11,9.01,6.09,4.8,7.0,1.91,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996_marine_group,Sva0996_marine_group_ge
Otu0015,7.27,5.36,5.73,4.12,5.62,1.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maritimimonas
Otu0018,5.53,6.03,6.38,4.03,5.49,1.04,Bacteria,Atribacteria,Atribacteria_cl,Atribacteria_or,Atribacteria_fa,Atribacteria_ge
Otu0023,3.81,3.33,4.11,1.89,3.28,0.99,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified
Otu0021,3.86,2.88,3.72,2.35,3.2,0.72,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter
Otu0027,2.05,3.33,3.37,1.21,2.49,1.05,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacteraceae_unclassified
Otu0030,2.82,2.11,2.05,0.73,1.93,0.87,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu0037,2.42,2.68,2.01,0.24,1.84,1.1,Archaea,DHVE6,DHVE6_cl,DHVE6_or,DHVE6_fa,DHVE6_ge
Otu0045,2.08,1.22,1.34,0.18,1.2,0.78,Bacteria,Tenericutes,Mollicutes,NB1-n,NB1-n_fa,NB1-n_ge
Otu0044,1.54,1.17,0.86,0.53,1.02,0.43,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia
Otu0049,1.33,0.97,0.87,0.55,0.93,0.32,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,OM1_clade_ge
Otu0056,0.9,1.39,0.59,0.27,0.79,0.48,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
Otu0064,0.89,1.04,0.82,0.02,0.7,0.46,Archaea,DHVE6,DHVE6_cl,DHVE6_or,DHVE6_fa,DHVE6_ge
Otu0055,0.59,0.55,0.42,0.6,0.54,0.08,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus
Otu0079,0.66,0.6,0.67,0.18,0.53,0.24,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
