"Spearman's correlations (rho) between alpha diversity metrics and geochemical parameters for BloodFalls and West lobe Lake Bonnery samples:"
,All,All,All,All,All,All,Prokaryotes,Prokaryotes,Prokaryotes,Prokaryotes,Prokaryotes,Prokaryotes
,Number Seqs,Number OTUs,Shannon,Simpson,Hills q=1,Hills q=2,Number Seqs,Number OTUs,Shannon,Simpson,Hills q=1,Hills q=2
pH,0.436,0.607,0.153,0.262,0.153,-0.141,0.288,0.276,-0.141,0.262,-0.141,-0.301
DIC (mM),-0.250,-0.267,-0.117,-0.366,-0.117,0.250,-0.117,-0.083,0.167,-0.366,0.167,0.350
DOC (uM),-0.236,-0.273,-0.139,-0.215,-0.139,0.152,-0.079,-0.067,0.139,-0.215,0.139,0.261
DIN (uM),0.227,0.041,-0.127,-0.106,-0.127,0.036,0.364,0.445,0.173,-0.106,0.173,0.136
SRP (uM),0.270,0.224,-0.414,0.513,-0.414,-0.470,0.293,0.130,-0.447,0.513,-0.447,-0.493
DO (uM),0.360,0.594,0.100,0.453,0.100,-0.318,0.151,0.025,-0.402,0.453,-0.402,-0.510
Na (mM),-0.112,-0.235,-0.168,-0.187,-0.168,0.119,0.035,0.028,0.084,-0.187,0.084,0.203
Ca (mM),-0.231,-0.354,-0.105,-0.261,-0.105,0.203,-0.098,-0.091,0.140,-0.261,0.140,0.280
SO4 (mM),-0.182,-0.413,-0.189,-0.250,-0.189,0.182,0.014,0.077,0.154,-0.250,0.154,0.266
Cl (mM),-0.042,-0.147,-0.168,-0.155,-0.168,0.084,0.077,0.049,0.049,-0.155,0.049,0.161

"Significance levels are indicated by stars as follows: ***, p < 0.001; **, p < 0.05; *, p < 0.05"
